ID,Name,Abbreviation,Location,URL
776,"Interligue Quebec City","QBC","Quebec City","https://myhockeyrankings.com/league-info?l=776"
777,"Ligue de Hockey Mineur BC Rive-Nord","Rive-Nord","Central Quebec","https://myhockeyrankings.com/league-info?l=777"
778,"New Brunswick District 3","NBD3","Central New Brunswick","https://myhockeyrankings.com/league-info?l=778"
779,"STEP League","STEP","NW Saskatchewan","https://myhockeyrankings.com/league-info?l=779"
780,"Sask Valley Minor Hockey League","SVMHL","North Central Saskatchewan","https://myhockeyrankings.com/league-info?l=780"
781,"Southwest Saskatchewan Hockey League","SSHL","SW Saskatchewan","https://myhockeyrankings.com/league-info?l=781"
782,"East Central Minor Hockey League","ECMHL","Central Saskatchewan","https://myhockeyrankings.com/league-info?l=782"
783,"OMHA AAA Hockey","OMHA-AAA","Ontario","https://myhockeyrankings.com/league-info?l=783"
784,"Frontier Girls Hockey League","FGHL","Pacific Northwest","https://myhockeyrankings.com/league-info?l=784"
785,"Rocky Mountain Hockey Federation","RMHF","Denver","https://myhockeyrankings.com/league-info?l=785"
786,"North American Prospects Hockey League","NAPHL","US Nationwide","https://myhockeyrankings.com/league-info?l=786"
787,"New York East Section","NYE","Southeastern New York","https://myhockeyrankings.com/league-info?l=787"
788,"Southern Girls Hockey League","SGHL","Southeast US","https://myhockeyrankings.com/league-info?l=788"
789,"Rural Manitoba Female Hockey League","RMFHL-MB","Manitoba","https://myhockeyrankings.com/league-info?l=789"
791,"Hockey Cote-Nord","CTN","Northeastern Quebec","https://myhockeyrankings.com/league-info?l=791"
792,"Moose Jaw Minor Hockey League","MJMHL","South Central Sask","https://myhockeyrankings.com/league-info?l=792"
793,"Atlantic Coast Hockey Conference","ACHC","Carolinas","https://myhockeyrankings.com/league-info?l=793"
794,"Nova Scotia U16 AAA Hockey League","NSU16HL","Nova Scotia","https://myhockeyrankings.com/league-info?l=794"
795,"Northwest Amateur Hockey League","NWAHL","Pacific Northwest","https://myhockeyrankings.com/league-info?l=795"
796,"New Brunswick Female AAA Hockey League","NBFAAAHL","New Brunswick","https://myhockeyrankings.com/league-info?l=796"
798,"Hockey Brandon","Brandon","Western Manitoba","https://myhockeyrankings.com/league-info?l=798"
799,"Wood Buffalo Hockey League","WBHL","Fort McMurray","https://myhockeyrankings.com/league-info?l=799"
800,"Colorado Recreational Hockey League","CRHL","Colorado","https://myhockeyrankings.com/league-info?l=800"
801,"Tri-City Hockey League","TCHL","Northern Saskatchewan","https://myhockeyrankings.com/league-info?l=801"
802,"Central Girls Hockey League","CGHL-CE","Central US","https://myhockeyrankings.com/league-info?l=802"
803,"Statewide Florida Girls Hockey League","SFGHL","Florida","https://myhockeyrankings.com/league-info?l=803"
804,"i90 Alliance","i90","Amherst","https://myhockeyrankings.com/league-info?l=804"
805,"Mid-Atlantic Hockey Alliance","MAHA-AT","Mid-Atlantic","https://myhockeyrankings.com/league-info?l=805"
806,"Bay State Hockey League","BSHL","Eastern Massachusetts","https://myhockeyrankings.com/league-info?l=806"
807,"Winnipeg AA Hockey","WAAH","Winnipeg","https://myhockeyrankings.com/league-info?l=807"
808,"Jr Golden Knights House League","JGKHL","Las Vegas","https://myhockeyrankings.com/league-info?l=808"
